DATE,IZ324
2005-12-01,100.0
2006-01-01,102.7
2006-02-01,102.5
2006-03-01,99.9
2006-04-01,112.5
2006-05-01,123.7
2006-06-01,120.2
2006-07-01,121.1
2006-08-01,123.6
2006-09-01,106.9
2006-10-01,95.8
2006-11-01,95.9
2006-12-01,98.3
2007-01-01,94.9
2007-02-01,91.9
2007-03-01,107.4
2007-04-01,113.4
2007-05-01,115.3
2007-06-01,119.3
2007-07-01,122.0
2007-08-01,114.8
2007-09-01,119.3
2007-10-01,124.7
2007-11-01,142.5
2007-12-01,137.8
2008-01-01,146.7
2008-02-01,133.5
2008-03-01,151.0
2008-04-01,160.7
2008-05-01,176.6
2008-06-01,194.2
2008-07-01,196.2
2008-08-01,174.1
2008-09-01,165.6
2008-10-01,137.3
2008-11-01,101.3
2008-12-01,70.3
2009-01-01,69.3
2009-02-01,74.3
2009-03-01,79.6
2009-04-01,86.9
2009-05-01,93.1
2009-06-01,111.5
2009-07-01,108.3
2009-08-01,119.9
2009-09-01,116.6
2009-10-01,114.8
2009-11-01,121.9
2009-12-01,123.4
2010-01-01,129.7
2010-02-01,128.7
2010-03-01,128.9
2010-04-01,133.0
2010-05-01,128.8
2010-06-01,123.1
2010-07-01,122.9
2010-08-01,123.4
2010-09-01,120.8
2010-10-01,125.7
2010-11-01,134.6
2010-12-01,140.5
2011-01-01,142.9
2011-02-01,150.4
2011-03-01,176.1
2011-04-01,182.2
2011-05-01,180.1
2011-06-01,175.6
2011-07-01,183.7
2011-08-01,188.7
2011-09-01,181.6
2011-10-01,180.2
2011-11-01,182.2
2011-12-01,178.9
2012-01-01,182.5
2012-02-01,169.7
2012-03-01,181.9
2012-04-01,185.9
2012-05-01,171.0
2012-06-01,157.3
2012-07-01,161.6
2012-08-01,170.7
2012-09-01,175.1
2012-10-01,175.7
2012-11-01,167.1
2012-12-01,160.6
2013-01-01,164.0
2013-02-01,168.5
2013-03-01,169.4
2013-04-01,164.8
2013-05-01,157.4
2013-06-01,157.1
2013-07-01,159.9
2013-08-01,164.4
2013-09-01,163.1
2013-10-01,160.2
2013-11-01,157.0
2013-12-01,159.7
2014-01-01,156.8
2014-02-01,164.7
2014-03-01,166.9
2014-04-01,158.0
2014-05-01,164.7
2014-06-01,165.8
2014-07-01,161.8
2014-08-01,159.8
2014-09-01,156.1
2014-10-01,140.5
2014-11-01,129.2
2014-12-01,118.0
2015-01-01,93.9
2015-02-01,93.8
2015-03-01,99.4
2015-04-01,96.4
2015-05-01,104.0
2015-06-01,102.5
2015-07-01,99.8
2015-08-01,90.1
2015-09-01,82.1
2015-10-01,77.7
2015-11-01,79.0
2015-12-01,74.3
2016-01-01,60.5
2016-02-01,56.1
2016-03-01,56.7
2016-04-01,61.2
2016-05-01,68.3
2016-06-01,76.4
2016-07-01,73.9
2016-08-01,70.7
2016-09-01,73.8
2016-10-01,77.5
2016-11-01,80.3
2016-12-01,80.0
2017-01-01,86.5
2017-02-01,83.7
2017-03-01,83.8
2017-04-01,83.2
2017-05-01,80.5
2017-06-01,81.4
2017-07-01,78.0
2017-08-01,83.1
2017-09-01,90.1
2017-10-01,84.3
2017-11-01,93.3
2017-12-01,94.7
2018-01-01,93.6
2018-02-01,96.8
2018-03-01,93.9
2018-04-01,95.2
2018-05-01,98.6
2018-06-01,104.1
2018-07-01,104.0
2018-08-01,105.0
2018-09-01,104.6
2018-10-01,107.8
2018-11-01,101.8
2018-12-01,95.4
2019-01-01,93.6
2019-02-01,94.5
2019-03-01,98.9
2019-04-01,101.3
2019-05-01,105.6
2019-06-01,100.5
2019-07-01,104.5
2019-08-01,100.7
2019-09-01,102.2
2019-10-01,101.9
2019-11-01,100.1
2019-12-01,98.9
2020-01-01,101.3
2020-02-01,96.6
2020-03-01,84.1
2020-04-01,61.5
2020-05-01,67.1
2020-06-01,71.1
2020-07-01,76.6
2020-08-01,80.0
2020-09-01,73.6
2020-10-01,73.6
2020-11-01,73.1
2020-12-01,75.7
2021-01-01,81.8
2021-02-01,87.4
2021-03-01,94.7
2021-04-01,99.9
2021-05-01,106.8
2021-06-01,109.6
2021-07-01,112.0
2021-08-01,114.9
2021-09-01,116.5
2021-10-01,124.6
2021-11-01,129.8
2021-12-01,125.3
2022-01-01,127.9
2022-02-01,142.1
2022-03-01,170.8
2022-04-01,165.9
2022-05-01,186.9
2022-06-01,194.7
2022-07-01,197.8
2022-08-01,183.4
2022-09-01,175.0
2022-10-01,174.1
2022-11-01,166.4
2022-12-01,165.8
2023-01-01,145.2
2023-02-01,145.1
2023-03-01,137.6
2023-04-01,142.0
2023-05-01,132.6
2023-06-01,138.9
2023-07-01,134.7
2023-08-01,146.0
